domain,institution,driving_model,experiment,ensemble,model,model_version,frequency,variable,search_url,status
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,va500,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22va500%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,va700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22va700%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ta1000,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ta1000%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ta200,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ta200%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ta500,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ta500%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ta700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ta700%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ua500,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua500%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ua700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua700%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ua850,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua850%22%7D,published
ALP-3,CLMcom-CMCC,ICHEC-EC-EARTH,rcp85,r12i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,3hr,ua925,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22ICHEC-EC-EARTH%22%2C%22institute%22%3A%22CLMcom-CMCC%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r12i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-9%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua925%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r0i0p0,CCLM5-0-15,fpsconv-x2yn2-v1,fx,sftlf,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r0i0p0%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22fx%22%2C%22variable%22%3A%22sftlf%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r0i0p0,CCLM5-0-15,fpsconv-x2yn2-v1,fx,orog,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r0i0p0%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22fx%22%2C%22variable%22%3A%22orog%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,rcp85,r0i0p0,CCLM5-0-15,fpsconv-x2yn2-v1,fx,orog,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r0i0p0%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22fx%22%2C%22variable%22%3A%22orog%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,rcp85,r0i0p0,CCLM5-0-15,fpsconv-x2yn2-v1,fx,sftlf,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22rcp85%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r0i0p0%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22fx%22%2C%22variable%22%3A%22sftlf%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,day,tasmax,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22day%22%2C%22variable%22%3A%22tasmax%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,pr,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22pr%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,tas,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22tas%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,day,tasmin,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22day%22%2C%22variable%22%3A%22tasmin%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,day,mrsol,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22day%22%2C%22variable%22%3A%22mrsol%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,wa925,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22wa925%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,hus700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22hus700%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,clgvi,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22clgvi%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,wa700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22wa700%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,rlus,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22rlus%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,hfls,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22hfls%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,6hr,zg1000,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%226hr%22%2C%22variable%22%3A%22zg1000%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,zmla,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22zmla%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,day,snc,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%22day%22%2C%22variable%22%3A%22snc%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,ta700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ta700%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,va100m,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22va100m%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,va850,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22va850%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,ua850,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22ua850%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,rsds,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22rsds%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,3hr,va700,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%223hr%22%2C%22variable%22%3A%22va700%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,rlds,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22rlds%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,ua100m,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22ua100m%22%7D,published
ALP-3,CLMcom-DWD,MOHC-HadGEM2-ES,historical,r1i1p1,CCLM5-0-15,fpsconv-x2yn2-v1,1hr,mrro,https://esgf-metagrid.cloud.dkrz.de/search?project=CORDEX&activeFacets=%7B%22project%22%3A%22CORDEX-FPSCONV%22%2C%22experiment%22%3A%22historical%22%2C%22driving_model%22%3A%22MOHC-HadGEM2-ES%22%2C%22institute%22%3A%22CLMcom-DWD%22%2C%22domain%22%3A%22ALP-3%22%2C%22ensemble%22%3A%22r1i1p1%22%2C%22rcm_name%22%3A%22CCLM5-0-15%22%2C%22rcm_version%22%3A%22fpsconv-x2yn2-v1%22%2C%22time_frequency%22%3A%221hr%22%2C%22variable%22%3A%22mrro%22%7D,published
