domain_id,institution_id,contact,source_id,driving_source_id,driving_variant_label,driving_experiment_id,status,estimated_completion_date,comments
EUR-12,RMIB-UGent,K. Vandelanotte,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,ssp245,running,2026-07,
EUR-12,RMIB-UGent,K. Vandelanotte,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,ssp585,running,2026-07,
EUR-12,IFCA,J. Fernandez / J. Milovac,WRF461U,ERA5,,evaluation,planned,2026-06,#CORDEX-CORE
EUR-12,CYI,G. Zittis,WRF461U,EC-Earth3-Veg,r1i1p1f1,historical,planned,2026-09,#CORDEX-CORE
EUR-12,CYI,G. Zittis,WRF461U,EC-Earth3-Veg,r1i1p1f1,ssp370,planned,2026-09,#CORDEX-CORE
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,ERA5,,evaluation,planned,2026-06,#ESD
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CMCC-CM2-SR5,r1i1p1f1,historical,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CMCC-CM2-SR5,r1i1p1f1,ssp119,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CMCC-CM2-SR5,r1i1p1f1,ssp126,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CMCC-CM2-SR5,r1i1p1f1,ssp245,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CMCC-CM2-SR5,r1i1p1f1,ssp370,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CMCC-CM2-SR5,r1i1p1f1,ssp585,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CNRM-ESM2-1,r1i1p1f2,historical,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CNRM-ESM2-1,r1i1p1f2,ssp119,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CNRM-ESM2-1,r1i1p1f2,ssp126,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CNRM-ESM2-1,r1i1p1f2,ssp245,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CNRM-ESM2-1,r1i1p1f2,ssp370,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,CNRM-ESM2-1,r1i1p1f2,ssp585,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,EC-Earth3-Veg,r1i1p1f1,historical,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,EC-Earth3-Veg,r1i1p1f1,ssp119,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,EC-Earth3-Veg,r1i1p1f1,ssp126,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,EC-Earth3-Veg,r1i1p1f1,ssp245,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,EC-Earth3-Veg,r1i1p1f1,ssp370,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,EC-Earth3-Veg,r1i1p1f1,ssp585,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MIROC6,r1i1p1f1,historical,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MIROC6,r1i1p1f1,ssp119,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MIROC6,r1i1p1f1,ssp126,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MIROC6,r1i1p1f1,ssp245,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MIROC6,r1i1p1f1,ssp370,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MIROC6,r1i1p1f1,ssp585,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MPI-ESM1-2-HR,r1i1p1f1,historical,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MPI-ESM1-2-HR,r1i1p1f1,ssp119,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MPI-ESM1-2-HR,r1i1p1f1,ssp126,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MPI-ESM1-2-HR,r1i1p1f1,ssp245,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MPI-ESM1-2-HR,r1i1p1f1,ssp370,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,MPI-ESM1-2-HR,r1i1p1f1,ssp585,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,NorESM2-MM,r1i1p1f1,historical,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,NorESM2-MM,r1i1p1f1,ssp119,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,NorESM2-MM,r1i1p1f1,ssp126,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,NorESM2-MM,r1i1p1f1,ssp245,planned,2026-12,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,NorESM2-MM,r1i1p1f1,ssp370,planned,2026-06,#ESD #ManySSP
EUR-12,IFCA,J. M. Gutierrez / J. Gonzalez-Abad,DeepESD,NorESM2-MM,r1i1p1f1,ssp585,planned,2026-12,#ESD #ManySSP
MED-12,CLMcom-IMS,P. Khain / L. Uzan / E. Vadislavski,ICON-OASIS-NEMO,ERA5,,evaluation,planned,2024-12,
MED-12,CLMcom-IMS,P. Khain / L. Uzan / E. Vadislavski,ICON-OASIS-NEMO,MPI-ESM1-2-HR,r1i1p1f1,historical,planned,2024-12,
MED-12,CLMcom-IMS,P. Khain / L. Uzan / E. Vadislavski,ICON-OASIS-NEMO,MPI-ESM1-2-HR,r1i1p1f1,ssp370,planned,2024-12,
MED-12,CNRM,P. Nabat,CNRM-ALADIN64M1-SN,ERA5,,evaluation,completed,2025-07,ocean-uncoupled simulation paired to CNRM-RCSM6B-SN
MED-12,CMCC,S. Gualdi / P. Lionello / L. Cavicchia,MedESM,ERA5,,evaluation,planned,2024-12,
MED-12,CMCC,S. Gualdi / P. Lionello / L. Cavicchia,MedESM,TBD,TBD,historical,planned,2024-12,
MED-12,ENEA,G. Sannino,ENEA-REG2,ERA5,,evaluation,completed,2023-12,Not to be published in ESGF but available on request
MED-12,ENEA,G. Sannino,ENEA-REG2,MPI-ESM1-2-HR,r1i1p1f1,historical,completed,2023-05,Not to be published in ESGF but available on request
MED-12,ENEA,G. Sannino,ENEA-REG2,MPI-ESM1-2-HR,r1i1p1f1,ssp126,completed,2023-05,Not to be published in ESGF but available on request
MED-12,ENEA,G. Sannino,ENEA-REG2,MPI-ESM1-2-HR,r1i1p1f1,ssp245,completed,2023-05,Not to be published in ESGF but available on request
MED-12,ENEA,G. Sannino,ENEA-REG2,MPI-ESM1-2-HR,r1i1p1f1,ssp585,completed,2023-05,Not to be published in ESGF but available on request
MED-12,ENEA,G. Sannino,ENEA-REG3,ERA5,,evaluation,running,2025-12,
MED-12,ENEA,G. Sannino,ENEA-REG3,MPI-ESM1-2-HR,r1i1p1f1,historical,running,2025-12,
MED-12,ENEA,G. Sannino,ENEA-REG3,MPI-ESM1-2-HR,r1i1p1f1,ssp370,running,2025-12,
MED-12,ENEA,G. Sannino,ENEA-REG3,EC-Earth3,r1i1p1f1,historical,running,2025-12,
MED-12,ENEA,G. Sannino,ENEA-REG3,EC-Earth3,r1i1p1f1,ssp370,running,2025-12,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,ERA5,,evaluation,running,2025-09,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,MPI-ESM1-2-HR,r1i1p1f1,historical,planned,,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,MPI-ESM1-2-HR,r1i1p1f1,ssp370,planned,,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,EC-Earth3-Veg,r1i1p1f1,historical,planned,,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,EC-Earth3-Veg,r1i1p1f1,ssp370,planned,,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,NorESM2-MM,r1i1p1f1,historical,planned,,
MED-12,ICTP,E. Coppola,RegCM-ES1-1,NorESM2-MM,r1i1p1f1,ssp370,planned,,
MED-12,IPSL,J. Polcher,RegIPSLv2,ERA5,,evaluation,planned,2023-12,
MED-12,NKUA,J. Karagiorgos,MedX-CM,ERA5,,evaluation,planned,2025-12,
MED-12,NKUA,J. Karagiorgos,MedX-CM,TBD,TBD,historical,planned,2026-12,
MED-12,NKUA,J. Karagiorgos,MedX-CM,TBD,TBD,ssp126,planned,2026-12,
MED-12,NKUA,J. Karagiorgos,MedX-CM,TBD,TBD,ssp370,planned,2026-12,
MED-12,UBEL,V. Djurdjevic,EBUPOM2e,ERA5,,evaluation,planned,2023-12,
MED-25,LMD,L. Li,LMDZ4-NEMOMED8v2,ERA5,,evaluation,completed,2024-01,1979-2021
MED-25,LMD,L. Li,LMDZ4-NEMOMED8v2,TBD,TBD,historical,planned,2024-12,
NAM-12,CORNELL,X. Zhou / S.C. Pryor,WRF461T-SN,MPI-ESM1-2-LR,r1i1p1f1,historical,running,2025-12,
NAM-12,CORNELL,X. Zhou / S.C. Pryor,WRF461T-SN,MPI-ESM1-2-LR,r1i1p1f1,ssp585,running,2025-12,
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,ERA5,,evaluation,completed,2025-11,#CORDEX-CORE
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,EC-Earth3-Veg,r1i1p1f1,historical,running,2026-05,#CORDEX-CORE
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,EC-Earth3-Veg,r1i1p1f1,ssp370,running,2026-05,#CORDEX-CORE
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,MPI-ESM1-2-HR,r1i1p1f1,historical,completed,2026-02,#CORDEX-CORE
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,MPI-ESM1-2-HR,r1i1p1f1,ssp245,completed,2025-11,
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,MPI-ESM1-2-HR,r1i1p1f1,ssp370,completed,2026-02,#CORDEX-CORE
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,CESM2,r11i1p1f1,historical,running,2026-04,
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,CESM2,r11i1p1f1,ssp245,running,2026-04,
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,CESM2,r11i1p1f1,ssp370,planned,2026-08,
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,NorESM2-MM,r1i1p1f1,historical,completed,2026-02,#CORDEX-CORE
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,NorESM2-MM,r1i1p1f1,ssp245,planned,2026-08,
NAM-12,NCAR,J. Stuivenvolt-Allen,WRF461S-SN,NorESM2-MM,r1i1p1f1,ssp370,completed,2026-02,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,ERA5,,evaluation,running,2026-06,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,EC-Earth3-Veg,r1i1p1f1,historical,planned,2026-06,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,EC-Earth3-Veg,r1i1p1f1,ssp370,planned,2026-06,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,MPI-ESM1-2-HR,r1i1p1f1,historical,planned,2026-06,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,MPI-ESM1-2-HR,r1i1p1f1,ssp370,planned,2026-06,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,NorESM2-MM,r1i1p1f1,historical,planned,2026-06,#CORDEX-CORE
NAM-12,ORNL,M. Ashfaq,RegCM5-0,NorESM2-MM,r1i1p1f1,ssp370,planned,2026-06,#CORDEX-CORE
MENA-25,DGM-UIZ,K. El Rhaz / M. Rachid,WRF,ERA5,,evaluation,completed,2022-01,
MENA-25,DGM-UIZ,K. El Rhaz / M. Rachid,WRF,TBD,TBD,historical,planned,2023-12,paused due to resources limitations
MENA-25,DGM-UIZ,K. El Rhaz / M. Rachid,WRF,TBD,TBD,ssp126,planned,2023-12,
MENA-25,DGM-UIZ,K. El Rhaz / M. Rachid,WRF,TBD,TBD,ssp245,planned,2023-12,
MENA-25,DGM-UIZ,K. El Rhaz / M. Rachid,WRF,TBD,TBD,ssp370,planned,2023-12,
