domain_id,institution_id,contact,source_id,driving_source_id,driving_variant_label,driving_experiment_id,status,estimated_completion_date,comments
CAM-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,evaluation,planned,2029-01,
CAM-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,historical,planned,2029-01,
CAM-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,h,planned,2029-01,
EUR-12,UCAN,J. Fernandez,WRF,TBD,TBD,historical,planned,2026-12,
EUR-12,UCAN,J. Fernandez,WRF,TBD,TBD,vlho,planned,2027-03,
EUR-12,AUTH,E. Katragkou,WRF,ERA5,,evaluation,planned,2026-12,
EUR-12,AUTH,E. Katragkou,WRF,TBD,TBD,historical,planned,2026-12,
EUR-12,AUTH,E. Katragkou,WRF,TBD,TBD,TBD,planned,2027-03,
EUR-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,evaluation,planned,2029-01,
EUR-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,historical,planned,2029-01,
EUR-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,h,planned,2029-01,
MED-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,evaluation,planned,2029-01,
MED-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,historical,planned,2029-01,
MED-12,CNRM,S. Somot,CNRM-RCSM,TBD,TBD,h,planned,2029-01,
NAM-12,Ouranos,D. Paquin,CRCM6-GEM5,TBD,TBD,historical,planned,2026-12,
NAM-12,Ouranos,D. Paquin,CRCM6-GEM5,TBD,TBD,TBD,planned,2027-12,
